16,F1-4,F042-ND
2,J1,S5721-ND
26,J2-14,36-1287-ST-ND
30,Q1-4 Q12-19 Q22-23,2N7002NTR-ND
25,R37 R45 R66 R73 R92 R99 R118 R125,A116084CT-ND
50,R9-12 R21 R55 R58 R83-84 R108 R110 R132 R134-135,A116104CT-ND
2,U23,MC74HC165ADTR2GOSCT-ND
25,D19-26 D31-32,B360A-FDICT-ND
25,D3-6 D12-15,BAV99-FDICT-ND
25,C1-4 C40,490-5920-1-ND
25,C19-20 C33-34 C50-51 C60-61,490-3884-1-ND
50,C6 C11 C24-25 C28-29 C38-39 C43 C45 C49 C55-56 C65,490-10697-1-ND
25,C41-42 C44,490-6366-1-ND
50,C16-17 C26-27 C30-31 C36-37 C46-47 C53-54 C57-58 C63-64,490-7205-1-ND
25,C5 C21-22,490-1709-1-ND
16,U6 U9 U12 U15 U20 U25 U28 U31,FL5160MXCT-ND
6,U17-18 U22,MC74HC595ADTR2GOSCT-ND
25,D1-2 D7-8 D11 D16 D29-30 D37-38 D43-44,MM3Z7V5ST1GOSCT-ND
16,TV1-8,MOV-14D471KTRCT-ND
25,Q7-9 Q24-25 Q30-31 Q36-37,1727-2365-1-ND
50,U1-5 U7-8 U10-11 U13-14 U16 U19 U21 U24 U26-27 U29-30 U32,PS2801-1ACT-ND
50,R1-4 R24 R38 R44 R54 R59 R67 R72 R81 R85 R93 R98 R107 R111 R119 R124 R133,P10.0KLCT-ND
50,R25 R32 R49 R53 R61 R65 R76 R79 R86 R90 R102 R106 R114 R117 R128 R131,P120JCT-ND
50,R17-20 R28-31 R41-42 R69-70 R95-96 R121-122,P1.00KLCT-ND
50,R5-8,P1.00MLCT-ND
50,R39 R43 R68 R71 R94 R97 R120 R123,P2.05KLCT-ND
50,R26-27 R51-52 R63-64 R77-78 R88-89 R104-105 R113 R115 R129-130,P2.70KLCT-ND
50,R47,P4.02KLCT-ND
50,R13-16 R33-36,P49.9LCT-ND
50,R48,P6.04KLCT-ND
50,R23 R40 R46 R50 R56 R62 R74-75 R80 R91 R100-101 R103 R116 R126-127,P2.0MACT-ND
32,D9-10 D17-18 D27-28 D33-36 D39-42 D45-46,RS1MFSCT-ND
16,K3-10,7-1415899-6-ND
40,Q5-6 Q10-11 Q20-21 Q26-29 Q32-35 Q38-39,497-13264-1-ND
4,K1-2,T9AS5D12-5-ND
